Final Number,Frequency
0,31047
2,61536
4,60837
6,60740
8,60992
10,60267
12,60319
14,59751
16,59584
18,59352
20,59010
22,58708
24,58455
26,58295
28,58179
30,57839
32,56975
34,57350
36,57405
38,57108
40,56747
42,56836
44,56048
46,55954
48,55688
50,55466
52,54961
54,54969
56,55242
58,54221
60,54133
62,53581
64,53996
66,53491
68,52754
70,53231
72,53088
74,52569
76,52578
78,52232
80,52183
82,51307
84,51537
86,51466
88,50981
90,50840
92,50532
94,50338
96,50079
98,49787
100,49820
102,49742
104,49143
106,49085
108,49052
110,48926
112,48430
114,48245
116,48082
118,47967
120,47832
122,47713
124,46956
126,46940
128,46756
130,46621
132,46471
134,46202
136,46035
138,45595
140,45667
142,45259
144,45442
146,45234
148,44936
150,44357
152,44152
154,44111
156,43872
158,43582
160,43591
162,42873
164,42783
166,42752
168,42575
170,42431
172,42481
174,42023
176,42035
178,41776
180,41935
182,41494
184,41078
186,40922
188,41069
190,40946
192,40388
194,40356
196,40035
198,39895
200,39496
202,39563
204,39169
206,39058
208,38842
210,38471
212,38608
214,38572
216,37932
218,38081
220,37664
222,37858
224,37432
226,37514
228,37273
230,36547
232,37017
234,36993
236,36624
238,35867
240,36253
242,35973
244,35924
246,35657
248,35412
250,35366
252,35390
254,34588
256,34784
258,34587
260,34650
262,34427
264,34231
266,34118
268,33868
270,33672
272,33342
274,33600
276,33153
278,33318
280,32902
282,32782
284,32808
286,32835
288,32213
290,32190
292,32194
294,31805
296,31801
298,31706
300,31247
302,31287
304,31419
306,30891
308,30898
310,30454
312,30633
314,30581
316,29905
318,30014
320,29881
322,29735
324,29578
326,29388
328,29662
330,29210
332,29123
334,28989
336,28864
338,28540
340,28683
342,28326
344,28345
346,28188
348,28142
350,27419
352,27653
354,27475
356,27388
358,27298
360,27214
362,26791
364,26920
366,26893
368,26551
370,26290
372,26034
374,26182
376,26039
378,26185
380,25699
382,25473
384,25541
386,25095
388,25132
390,24976
392,24852
394,24653
396,24831
398,24488
400,24718
402,24291
404,24185
406,23816
408,24037
410,23847
412,23616
414,23626
416,23268
418,23500
420,23080
422,22944
424,22864
426,23037
428,22896
430,22739
432,22672
434,22622
436,22182
438,22376
440,22001
442,21858
444,21679
446,21472
448,21753
450,21598
452,21495
454,21329
456,21195
458,21214
460,20817
462,20744
464,20732
466,20530
468,20508
470,20533
472,20411
474,20090
476,20044
478,19995
480,19914
482,19819
484,20121
486,19506
488,19410
490,19446
492,19182
494,19170
496,19146
498,18864
500,18989
502,18703
504,18949
506,18419
508,18436
510,18353
512,18309
514,18147
516,17969
518,17883
520,18022
522,17728
524,17743
526,17524
528,17579
530,17214
532,17268
534,17302
536,17327
538,17002
540,16836
542,16879
544,16806
546,16550
548,16634
550,16418
552,16273
554,16350
556,16331
558,16106
560,15953
562,16035
564,15828
566,15656
568,15768
570,15372
572,15529
574,15310
576,15414
578,15236
580,15252
582,15309
584,14801
586,14981
588,14782
590,14675
592,14609
594,14506
596,14404
598,14308
600,14298
602,14301
604,14427
606,14280
608,13885
610,14184
612,13803
614,13888
616,13728
618,13572
620,13460
622,13292
624,13391
626,13015
628,13181
630,13218
632,13022
634,13050
636,12864
638,12827
640,12985
642,12696
644,12663
646,12593
648,12451
650,12480
652,12314
654,12228
656,12165
658,12053
660,12157
662,11962
664,11921
666,11832
